hotspot,crime_count,avg_latitude,avg_longitude,main_crime_type,main_district,main_community,risk_score,risk_level,recent_count,previous_count,trend,patrol_action
1,85,41.71302984317647,-87.53553288564706,BATTERY,4.0,52.0,1.7413572343149808,HIGH,0.0,0.0,STABLE,Increase patrol presence
2,65,41.94488939661538,-87.68678564030769,THEFT,19.0,5.0,1.3316261203585147,HIGH,0.0,0.0,STABLE,Increase patrol presence
3,27,41.75464074037036,-87.74153027296296,THEFT,8.0,65.0,0.5531370038412292,LOW,0.0,0.0,STABLE,Routine patrol
4,99,41.65611968737374,-87.60599611131315,BATTERY,5.0,54.0,2.028169014084507,HIGH,0.0,0.0,STABLE,Increase patrol presence
5,79,41.96749874025316,-87.7640974935443,BATTERY,16.0,15.0,1.618437900128041,HIGH,0.0,0.0,STABLE,Increase patrol presence
6,84,41.720163856547615,-87.57140913964285,THEFT,4.0,51.0,1.7208706786171575,HIGH,0.0,0.0,STABLE,Increase patrol presence
7,20,41.706086017000004,-87.60377682,BATTERY,5.0,50.0,0.40973111395646605,LOW,0.0,0.0,STABLE,Routine patrol
8,59,41.97710180288135,-87.90400929915253,THEFT,16.0,76.0,1.208706786171575,MEDIUM,1.0,0.0,RISING,Monitor regularly
9,40,41.978076881,-87.84062203900001,CRIMINAL DAMAGE,16.0,76.0,0.8194622279129321,LOW,0.0,0.0,STABLE,Routine patrol
10,44,41.75111444886364,-87.70569749045454,BATTERY,8.0,70.0,0.9014084507042254,LOW,0.0,0.0,STABLE,Routine patrol
11,34,41.78724641617647,-87.73834543,THEFT,8.0,56.0,0.6965428937259923,LOW,0.0,0.0,STABLE,Routine patrol
12,53,41.83112789018868,-87.67806384867924,THEFT,9.0,59.0,1.085787451984635,MEDIUM,0.0,0.0,STABLE,Monitor regularly
13,19,41.74198112842105,-87.70542784052633,THEFT,8.0,70.0,0.3892445582586428,LOW,0.0,0.0,STABLE,Routine patrol
14,34,41.70665591352941,-87.56430733411764,BATTERY,4.0,51.0,0.6965428937259923,LOW,0.0,0.0,STABLE,Routine patrol
15,25,41.6960723116,-87.5372184288,THEFT,4.0,52.0,0.5121638924455826,LOW,0.0,0.0,STABLE,Routine patrol
16,14,41.68924955,-87.53748691285715,BATTERY,4.0,52.0,0.28681177976952626,LOW,0.0,0.0,STABLE,Routine patrol
